id	name
71959	Pierrefonds
71960	Rethondes
71965	Trosly-Breuil
71966	Bienville
71967	Choisy-au-Bac
71968	Clairoix
71970	Margny-lès-Compiègne
71971	Lacroix-Saint-Ouen
71972	Saint-Jean-aux-Bois
71974	Vieux-Moulin
71975	Armancourt
71976	Jaux
71978	Le Meux
71979	Venette
71980	Compiègne
71984	Estrées-Saint-Denis
71985	Francières
71986	Grandfresnoy
71991	Longueil-Sainte-Marie
72001	Crisolles
72006	Guiscard
72012	Quesmy
72026	Élincourt-Sainte-Marguerite
72032	Lassigny
72040	Beaurains-lès-Noyon
72044	Cuts
72050	Noyon
72052	Pont-l'Évêque
72055	Salency
72067	Conchy-les-Pots
72069	Cuvilly
72071	Gournay-sur-Aronde
72075	Margny-sur-Matz
72077	Monchy-Humières
72080	Orvillers-Sorel
72081	Ressons-sur-Matz
72084	Villers-sur-Coudun
72088	Chevincourt
72089	Chiry-Ourscamp
72091	Longueil-Annel
72092	Machemont
72094	Mélicocq
72097	Ribécourt-Dreslincourt
72099	Thourotte
72117	Mareuil-sur-Ourcq
72122	Rosoy-en-Multien
72127	Apremont
72128	Chantilly
72129	Coye-la-Forêt
72130	Gouvieux
72131	Lamorlaye
72132	Saint-Maximin
72133	Nogent-sur-Oise
72134	Villers-Saint-Paul
72135	Creil
72141	Crépy-en-Valois
72148	Morienval
72151	Orrouy
72160	Vez
72164	Mello
72165	Montataire
72167	Saint-Leu-d'Esserent
72169	Thiverny
72171	Baron
72175	Ermenonville
72177	Fontaine-Chaalis
72179	Lagny-le-Sec
72180	Le Plessis-Belleville
72181	Montagny-Sainte-Félicité
72183	Nanteuil-le-Haudouin
72188	Ver-sur-Launette
72190	Balagny-sur-Thérain
72191	Belle-Église
72192	Boran-sur-Oise
72193	Chambly
72194	Cires-lès-Mello
72200	Le Mesnil-en-Thelle
72202	Neuilly-en-Thelle
72204	Ully-Saint-Georges
72207	Fleurines
72208	Pont-Sainte-Maxence
72209	Pontpoint
72210	Raray
72215	Verberie
72216	Verneuil-en-Halatte
72217	Villeneuve-sur-Verberie
72219	Avilly-Saint-Léonard
72220	Barbery
72221	Chamant
72222	Courteuil
72223	La Chapelle-en-Serval
72224	Mont-l'Évêque
72225	Montépilloy
72227	Ognon
72228	Orry-la-Ville
72229	Plailly
72231	Senlis
72232	Thiers-sur-Thève
72234	Vineuil-Saint-Firmin
72235	Athies
72236	Saint-Laurent-Blangy
72237	Saint-Nicolas
72238	Achicourt
72239	Agny
72240	Beaurains
72241	Fampoux
72244	Tilloy-lès-Mofflaines
72246	Arras
72249	Aubigny-en-Artois
72250	Averdoingt
72260	Frévin-Capelle
72265	La Thieuloye
72278	Auxi-le-Château
72279	Beauvoir-Wavans
72282	Boubers-sur-Canche
72289	Frévent
72303	Avesnes-le-Comte
72313	Estrée-Wamin
72327	Rebreuve-sur-Canche
72330	Saulty
72334	Achiet-le-Grand
72338	Bapaume
72349	Ligny-Thilloy
72355	Warlencourt-Eaucourt
72409	Bucquoy
72410	Bullecourt
72429	Wancourt
72431	Anzin-Saint-Aubin
72432	Dainville
72433	Duisans
72434	Écurie
72435	Étrun
72436	Marœuil
72437	Mont-Saint-Éloi
72439	Sainte-Catherine
72447	Eps
72456	Heuchin
72471	Valhuon
72472	Baralle
72475	Écourt-Saint-Quentin
72477	Graincourt-lès-Havrincourt
72485	Rumaucourt
72491	Couin
72493	Foncquevillers
72494	Gaudiempré
72499	Hébuterne
72507	Puisieux
72511	Souastre
72515	Bermicourt
72521	Diéval
72526	Gauchin-Verloingt
72534	Humières
72549	Saint-Pol-sur-Ternoise
72550	Séricourt
72554	Troisvaux
72556	Ablain-Saint-Nazaire
72559	Bailleul-Sir-Berthoult
72564	Gavrelle
72565	Givenchy-en-Gohelle
72566	Izel-lès-Équerchin
72567	Neuville-Saint-Vaast
72571	Souchez
72572	Thélus
72577	Biache-Saint-Vaast
72578	Boiry-Notre-Dame
72579	Brebières
72585	Fresnes-lès-Montauban
72588	Haucourt
72590	Monchy-le-Preux
72605	Amettes
72606	Auchel
72609	Ecquedecques
72616	Gosnay
72617	Haillicourt
72618	Hesdigneul-lès-Béthune
72620	Ruitz
72622	Essars
72624	La Couture
72626	Verquigneul
72627	Vieille-Chapelle
72628	Annezin
72631	Vendin-lès-Béthune
72634	Fouquières-lès-Béthune
72637	Verquin
72638	Béthune
72639	Bruay-la-Buissière
72641	Auchy-les-Mines
72642	Cambrin
72643	Cuinchy
72645	Noyelles-lès-Vermelles
72646	Richebourg
72647	Vermelles
72648	Calonne-Ricouart
72650	Marles-les-Mines
72651	Billy-Berclau
72652	Douvrin
72654	Haisnes
72655	Violaines
72657	Camblain-Châtelain
72660	Fresnicourt-le-Dolmen
72661	Gauchin-Légal
72663	Houdain
72665	Ourton
72667	Fleurbaix
72668	Laventie
72669	Lestrem
72670	Lorgies
72672	Sailly-sur-la-Lys
72673	Busnes
72675	Gonnehem
72677	Lillers
72681	Saint-Venant
72682	Beuvry
72683	Labourse
72684	Nœux-les-Mines
72685	Sailly-Labourse
72686	Auchy-au-Bois
72688	Bourecq
72691	Isbergues
72692	Lambres
72705	Pernes-lès-Boulogne
72707	Wimille
72708	Wimereux
72709	Baincthun
72710	Echinghen
72711	La Capelle-lès-Boulogne
72712	Saint-Martin-Boulogne
72713	Boulogne-sur-Mer
72719	Brunembert
72723	Desvres
72725	Le Wast
72728	Lottinghen
72735	Vieil-Moutier
72736	Wirwignes
72737	Le Portel
72738	Ambleteuse
72739	Audembert
72740	Audinghen
72741	Audresselles
72742	Bazinghen
72743	Beuvrequen
72746	Landrethun-le-Nord
72747	Leubringhen
72750	Marquise
72752	Rety
72753	Rinxent
72754	Saint-Inglevert
72755	Tardinghen
72757	Wierre-Effroy
72758	Wissant
72759	Équihen-Plage
72760	Outreau
72762	Condette
72764	Doudeauville
72767	Hesdin-l'Abbé
72771	Neufchâtel-Hardelot
72773	Saint-Étienne-au-Mont
72774	Saint-Léonard
72775	Samer
72779	Coulogne
72780	Les Attaques
72781	Marck
